,domain,SPF,DKIM,DMARC
0,ahmu.edu.cn,True,False,False
1,ahnu.edu.cn,True,False,True
2,ahsdxy.ah.edu.cn,False,False,False
3,ahtcm.edu.cn,True,False,True
4,ahu.edu.cn,True,False,True
5,aufe.edu.cn,False,False,False
6,bac.edu.cn,True,False,True
7,bfsu.edu.cn,True,False,False
8,bhu.edu.cn,False,False,False
9,bisu.edu.cn,True,False,False
10,bit.edu.cn,True,False,False
11,biti.edu.cn,False,False,False
12,bjtu.edu.cn,True,False,False
13,bjaeu.edu.cn,False,False,False
14,bjfu.edu.cn,True,False,False
15,bjmu.edu.cn,True,False,True
16,bjpeu.edu.cn,False,False,False
17,bjpu.edu.cn,False,False,False
18,bjucmp.edu.cn,False,False,False
19,blcu.edu.cn,True,False,False
20,bnu.edu.cn,True,False,True
21,bsu.edu.cn,True,False,False
22,buaa.edu.cn,True,False,True
23,buct.edu.cn,True,False,True
24,bupt.edu.cn,False,False,True
25,cafa.edu.cn,True,False,False
26,cauc.edu,False,False,False
27,cau.edu.cn,True,True,True
28,ccnu.edu.cn,True,False,False
29,ccut.edu.cn,False,False,False
30,cdu.edu.cn,True,False,False
31,cdutcm.edu.cn,False,False,False
32,cdut.edu.cn,True,False,True
33,cfau.edu.cn,True,False,True
34,chinaacademyofart.com,False,False,False
35,cisisu.edu.cn,True,False,False
36,cmu.edu.cn,True,False,False
37,cncnc.edu.cn,False,False,False
38,cnu.edu.cn,False,False,False
39,cppsu.edu.cn,False,False,False
40,cpu.edu.cn,True,False,True
41,cpums.edu.cn,False,False,False
42,cqec.net.cn,False,False,False
43,cqgyzy.com,False,False,False
44,cqmu.edu.cn,True,False,False
45,cqnu.edu.cn,False,False,False
46,cqtcedu.com,False,False,False
47,cquc.edu.cn,False,False,False
48,cqu.edu.cn,True,False,False
49,cqupt.edu.cn,True,False,True
50,cqust.cn,False,False,False
51,cqut.edu.cn,True,False,False
52,cqwu.net,True,False,False
53,crtvu.edu.cn,False,False,False
54,csfu.edu.cn,False,False,False
55,csru.edu.cn,False,False,False
56,csu.edu.cn,True,False,False
57,csuep.edu.cn,False,False,False
58,ctbu.edu.cn,True,False,False
59,ctgu.edu.cn,True,False,False
60,cubu.edu,False,False,False
61,cuc.edu.cn,False,False,True
62,cueb.edu.cn,True,False,False
63,cufe.edu.cn,True,False,True
64,cugb.edu.cn,True,False,False
65,cug.edu.cn,True,False,True
66,cumtb.edu.cn,True,False,False
67,cumt.edu.cn,True,False,False
68,cun.edu.cn,False,False,False
69,cupl.edu.cn,True,False,False
70,cyc.edu.cn,False,False,False
71,dhu.edu.cn,True,False,False
72,dlmedu.edu.cn,False,False,False
73,dlmu.edu.cn,True,False,False
74,dlu.edu.cn,True,False,False
75,dlufl.edu.cn,True,False,True
76,dlut.edu.cn,True,False,False
77,dufe.edu.cn,True,False,False
78,ecjtu.jx.cn,True,False,True
79,ecnu.edu.cn,True,False,True
80,ecust.edu.cn,False,False,False
81,emsfj.com,False,False,False
82,fimmu.edu.cn,False,False,False
83,fjau.edu.cn,False,False,False
84,fjmu.edu.cn,True,False,False
85,fjnu.edu.cn,True,False,True
86,fjtcm.edu.cn,True,False,False
87,fmmu.edu.cn,True,False,False
88,fosu.edu.cn,True,False,True
89,fspu.edu.cn,False,False,False
90,fudan.edu.cn,True,False,True
91,fzu.edu.cn,True,False,False
92,gdin.edu.cn,False,False,False
93,gdrtvu.edu.cn,True,False,True
94,gdufs.edu.cn,True,False,True
95,gdut.edu.cn,True,False,False
96,gsau.edu.cn,True,False,False
97,gsut.edu.cn,False,False,False
98,guangztc.edu.cn,False,False,False
99,gxmu.edu.cn,True,False,False
100,gxnu.edu.cn,True,False,True
101,gxtcmu.edu.cn,True,False,False
102,gxu.edu.cn,True,False,True
103,gxun.edu.cn,False,False,True
104,gzarts.edu.cn,False,False,False
105,gzhtcm.edu.cn,False,False,False
106,gzhu.edu.cn,True,False,False
107,gznu.edu.cn,True,False,True
108,gzsums.edu.cn,False,False,False
109,gzu.edu.cn,True,False,False
110,hainnu.edu.cn,True,False,True
111,hainu.edu.cn,False,False,False
112,hbafa.com,False,False,False
113,hbu.edu.cn,True,False,False
114,hdpu.edu.cn,False,False,False
115,hebau.edu.cn,True,False,False
116,hebeiuniteduniversity.com,True,False,False
117,hebmu.edu.cn,True,False,True
118,hebnu.edu.cn,False,False,False
119,hebust.edu.cn,True,False,False
120,hebut.edu.cn,True,False,False
121,henannu.edu.cn,False,False,False
122,henau.edu.cn,True,False,True
123,henu.edu.cn,True,False,False
124,heuet.edu.cn,True,False,False
125,hfut.edu.cn,True,False,True
126,hhit.edu.cn,False,False,False
127,hhrtu.com,False,False,False
128,hhstu.edu.cn,True,False,True
129,hhuc.edu.cn,False,False,False
130,hhu.edu.cn,True,False,True
131,hhu.edu.cn,True,False,True
132,hit.edu.cn,True,False,False
133,hlaflru.edu.cn,False,False,False
134,hljcu.edu.cn,False,False,False
135,hlju.edu.cn,True,False,False
136,hnfjxy.cn,False,False,False
137,hqgc.net,False,False,False
138,hqu.edu.cn,True,False,False
139,hrbeu.edu.cn,True,False,False
140,hrbmu.edu.cn,True,False,True
141,hrbnu.edu.cn,True,False,True
142,hrbucea.edu.cn,False,False,False
143,hrbust.edu.cn,False,False,False
144,hubu.edu.cn,True,False,False
145,hunau.net,True,False,False
146,hunnu.edu.cn,False,False,False
147,hunu.edu.cn,False,False,False
148,hust.edu.cn,True,False,False
149,hzau.edu.cn,True,False,False
150,hzu.edu.cn,False,False,False
151,ibub.edu.cn,False,False,False
152,imau.edu.cn,False,False,False
153,imnu.edu.cn,True,False,False
154,impu.edu.cn,False,False,False
155,imu.edu.cn,True,False,False
156,ipdbuu.com.cn,False,False,False
157,jci.edu.cn,True,False,True
158,jlau.edu.cn,True,False,True
159,jlu.edu.cn,True,False,False
160,jmu.edu.cn,True,False,True
161,jnu.edu.cn,True,False,False
162,jsu.edu.cn,True,False,False
163,jsust.edu.cn,False,False,False
164,jutcm.com,False,False,False
165,jut.edu.cn,False,False,False
166,jxau.edu.cn,True,False,False
167,jxnu.edu.cn,True,False,False
168,jxufe.edu.cn,True,False,True
169,jyu.edu.cn,False,False,False
170,kmust.edu.cn,False,False,False
171,lctu.edu.cn,False,False,False
172,lidapoly.com,False,False,False
173,lixin.edu.cn,True,False,False
174,lnnu.edu.cn,True,False,True
175,lntu.edu.cn,False,False,False
176,lnu.edu.cn,True,False,False
177,lumei.edu.cn,True,False,True
178,lzmc.edu.cn,False,False,False
179,lzu.edu.cn,True,False,True
180,nbu.edu.cn,True,False,True
181,nbut.edu.cn,True,False,False
182,ncepubj.edu.cn,False,False,False
183,ncu.edu.cn,True,False,True
184,ncut.edu.cn,True,False,False
185,neau.edu.cn,True,False,True
186,nefu.edu.cn,True,False,False
187,neijtc.edu.cn,False,False,False
188,nenu.edu.cn,True,False,True
189,neu.edu.cn,True,False,False
190,neuq.edu.cn,False,False,True
191,newasia.bj.edu.cn,False,False,False
192,njau.edu.cn,True,False,True
193,njfu.edu.cn,True,False,False
194,njim.edu.cn,False,False,False
195,njmu.edu.cn,True,False,True
196,njnu.edu.cn,True,False,False
197,njtu.edu.cn,True,False,False
198,njuct.edu.cn,False,False,False
199,nju.edu.cn,True,False,True
200,njue.edu.cn,False,False,False
201,njupt.edu.cn,True,False,True
202,njust.edu.cn,True,False,False
203,njutcm.edu.cn,False,False,False
204,njuts.cn,False,False,False
205,nku.nankai.edu.cn,False,False,False
206,nottingham.edu.cn,True,False,False
207,nsmc.edu.cn,True,False,False
208,nuaa.edu.cn,True,False,True
209,nudt.edu.cn,True,False,False
210,nwau.edu.cn,False,False,False
211,nwnu.edu.cn,False,False,False
212,nwpu.edu.cn,True,False,True
213,nwu.edu.cn,True,False,False
214,nxmc.edu.cn,False,False,False
215,nxu.edu.cn,True,False,False
216,ouc.edu.cn,True,False,False
217,peizheng.com.cn,False,False,False
218,pku.edu.cn,True,False,True
219,pzhu.edu.cn,True,False,False
220,qdu.edu.cn,True,False,True
221,qfnu.edu.cn,True,False,False
