,name,domain,SPF,DMARC,DKIM
0,Anhui Medical University,ahmu.edu.cn,True,False,False
1,Anhui Normal University,ahnu.edu.cn,True,True,False
2,Anhui Technical College of Water Resources and Hydroelectric Power,ahsdxy.ah.edu.cn,False,False,False
3,Anhui University of Traditional Chinese Medicine,ahtcm.edu.cn,True,True,False
4,Anhui University,ahu.edu.cn,True,True,False
5,Anhui University of Finance and Economics,aufe.edu.cn,False,False,False
6,Beijing University of Agriculture,bac.edu.cn,True,True,False
7,Beijing Foreign Studies University,bfsu.edu.cn,True,False,False
8,Bohai University,bhu.edu.cn,False,False,False
9,Beijing International Studies University,bisu.edu.cn,True,False,False
10,Beijing Institute of Technology,bit.edu.cn,True,False,False
11,Beijing Information Science and Technology University,biti.edu.cn,False,False,False
12,Beijing Jiaotong University,bjtu.edu.cn,True,False,False
13,China Agriculture University East,bjaeu.edu.cn,False,False,False
14,Beijing Forestry University,bjfu.edu.cn,True,False,False
15,Beijing Medical University,bjmu.edu.cn,True,True,False
16,Beijing Petroleum University,bjpeu.edu.cn,False,False,False
17,Beijing Polytechnic University,bjpu.edu.cn,False,False,False
18,Beijing University of Chinese Medicine and Pharmacology,bjucmp.edu.cn,False,False,False
19,Beijing Language and Culture University,blcu.edu.cn,True,False,False
20,Beijing Normal University,bnu.edu.cn,True,True,False
21,Beijing Sport University,bsu.edu.cn,True,False,False
22,Beijing University of Aeronautics and Astronautics,buaa.edu.cn,True,True,False
23,Beijing University of Chemical Technology,buct.edu.cn,True,True,False
24,Beijing University of Posts and Telecommunications,bupt.edu.cn,False,True,False
25,Central Academy of  Fine Art,cafa.edu.cn,True,False,False
26,Civil Aviation University of China,cauc.edu,False,False,False
27,China Agricultural University,cau.edu.cn,True,True,True
28,Central China Normal University,ccnu.edu.cn,True,False,False
29,Changchun University of Technology,ccut.edu.cn,False,False,False
30,Chengdu University,cdu.edu.cn,True,False,False
31,Chengdu University of Traditional Chinese Medicine,cdutcm.edu.cn,False,False,False
32,Chengdu University of Technology,cdut.edu.cn,True,True,False
33,China Foreign Affairs University,cfau.edu.cn,True,True,False
34,China Academy of Art,chinaacademyofart.com,False,False,False
35,Chengdu Institute of Sichuan International Studies University,cisisu.edu.cn,True,False,False
36,China Medical University Shenyang,cmu.edu.cn,True,False,False
37,Changchun Teachers College,cncnc.edu.cn,False,False,False
38,Capital Normal University,cnu.edu.cn,False,False,False
39,Chinese People's Public Security University,cppsu.edu.cn,False,False,False
40,China Pharmaceutical University Nanjing,cpu.edu.cn,True,True,False
41,Capital University of Medical Sciences,cpums.edu.cn,False,False,False
42,Chongqing Education College,cqec.net.cn,False,False,False
43,Chongqing Vocational College of Public Transportation,cqgyzy.com,False,False,False
44,Chongqing Medical University,cqmu.edu.cn,True,False,False
45,Chongqing Normal University,cqnu.edu.cn,False,False,False
46,Chongqing Telecommunication College,cqtcedu.com,False,False,False
47,Chongqing University of Communications,cquc.edu.cn,False,False,False
48,Chongqing University,cqu.edu.cn,True,False,False
